 GJZSPT      | ACT_GE_BYTEARRAY               | [NULL]  |
 GJZSPT      | ACT_GE_PROPERTY                | [NULL]  |
 GJZSPT      | ACT_HI_ACTINST                 | [NULL]  |
 GJZSPT      | ACT_HI_ATTACHMENT              | [NULL]  |
 GJZSPT      | ACT_HI_COMMENT                 | [NULL]  |
 GJZSPT      | ACT_HI_DETAIL                  | [NULL]  |
 GJZSPT      | ACT_HI_IDENTITYLINK            | [NULL]  |
 GJZSPT      | ACT_HI_PROCINST                | [NULL]  |
 GJZSPT      | ACT_HI_TASKINST                | [NULL]  |
 GJZSPT      | ACT_HI_VARINST                 | [NULL]  |
 GJZSPT      | ACT_ID_GROUP                   | [NULL]  |
 GJZSPT      | ACT_ID_INFO                    | [NULL]  |
 GJZSPT      | ACT_ID_MEMBERSHIP              | [NULL]  |
 GJZSPT      | ACT_ID_USER                    | [NULL]  |
 GJZSPT      | ACT_RE_DEPLOYMENT              | [NULL]  |
 GJZSPT      | ACT_RE_MODEL                   | [NULL]  |
 GJZSPT      | ACT_RE_PROCDEF                 | [NULL]  |
 GJZSPT      | ACT_RU_EVENT_SUBSCR            | [NULL]  |
 GJZSPT      | ACT_RU_EXECUTION               | [NULL]  |
 GJZSPT      | ACT_RU_IDENTITYLINK            | [NULL]  |
 GJZSPT      | ACT_RU_JOB                     | [NULL]  |
 GJZSPT      | ACT_RU_TASK                    | [NULL]  |
 GJZSPT      | ACT_RU_VARIABLE                | [NULL]  |
 GJZSPT      | ADS_CHECK_INFO                 | [NULL]  |
 GJZSPT      | ADS_CHECK_MODEL                | [NULL]  |
 GJZSPT      | ADS_CHECK_PROJECT              | [NULL]  |
 GJZSPT      | ADS_FILE                       | [NULL]  |
 GJZSPT      | ADS_INFO_PROJECT               | [NULL]  |
 GJZSPT      | ADS_MODEL_ATTRIBUTE_MAPPING    | [NULL]  |
 GJZSPT      | ADS_MODEL_CHECK_ITEM           | [NULL]  |
 GJZSPT      | ADS_MODEL_CHECK_OBJECT         | [NULL]  |
 GJZSPT      | ADS_MODEL_CHECK_STANDARD       | [NULL]  |
 GJZSPT      | ADS_MODEL_JUDGE_STANDARD       | [NULL]  |
 GJZSPT      | ADS_MODEL_OBJECT_ITEM_MAPPING  | [NULL]  |
 GJZSPT      | ADS_MODEL_SAMPLE_LINK          | [NULL]  |
 GJZSPT      | ADS_MODEL_TYPE                 | [NULL]  |
 GJZSPT      | ADS_MONITOR_SAMPLE             | [NULL]  |
 GJZSPT      | ADS_MONITOR_TASK               | [NULL]  |
 GJZSPT      | ADS_ORGAN_TASK                 | [NULL]  |
 GJZSPT      | ADS_RECIPE                     | [NULL]  |
 GJZSPT      | ALEMBIC_VERSION                | [NULL]  |
 GJZSPT      | ALES_DAILY_ENFORCE_LAW         | [NULL]  |
 GJZSPT      | ALES_ENTRUST_DETECTION         | [NULL]  |
 GJZSPT      | ALES_ENTRUST_SAMPLE            | [NULL]  |
 GJZSPT      | ALES_PRODUCE_ADMIN_PUNISH      | [NULL]  |
 GJZSPT      | ALES_SAMPLE                    | [NULL]  |
 GJZSPT      | ALES_TASK_SAMPLE               | [NULL]  |
 GJZSPT      | ALES_WT_TASK_SAMPLE            | [NULL]  |
 GJZSPT      | ASMS_BASE_INSPECTION           | [NULL]  |
 GJZSPT      | ASMS_BASE_USER                 | [NULL]  |
 GJZSPT      | ASMS_CHECK_BEAR_UNIT           | [NULL]  |
 GJZSPT      | ASMS_CHECK_TASK                | [NULL]  |
 GJZSPT      | ASMS_CHECK_TASK_REPORT         | [NULL]  |
 GJZSPT      | ASMS_EMERGENCY_EXPERT          | [NULL]  |
 GJZSPT      | ASMS_EMERGENCY_TASK            | [NULL]  |
 GJZSPT      | ASMS_INSPECTION_ASSESS         | [NULL]  |
 GJZSPT      | ASMS_INSPECTION_TASK           | [NULL]  |
 GJZSPT      | ASMS_MONITOR_OBJECT            | [NULL]  |
 GJZSPT      | ASMS_RECHECK_OBJECT            | [NULL]  |
 GJZSPT      | ASMS_RECHECK_TASK              | [NULL]  |
 GJZSPT      | ASMS_ROUTINE_LEAD_UNIT         | [NULL]  |
 GJZSPT      | ASMS_ROUTINE_MONITOR           | [NULL]  |
 GJZSPT      | ASMS_SPECIAL_LEAD_UNIT         | [NULL]  |
 GJZSPT      | ASMS_SPECIAL_MONITOR           | [NULL]  |
 GJZSPT      | ASMS_SUBJ_DETECTION            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_DT_CANCEL            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_DT_CHANGE            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_DT_REVOKE            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_EL_CANCEL            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_EL_CHANGE            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_EL_REVOKE            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_ENFORCE_LAW          | [NULL]  |
 GJZSPT      | ASMS_SUBJ_ENT_BADRECORD        | [NULL]  |
 GJZSPT      | ASMS_SUBJ_ENT_TEMP             | [NULL]  |
 GJZSPT      | ASMS_SUBJ_SUPERVISE            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_SV_CANCEL            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_SV_CHANGE            | [NULL]  |
 GJZSPT      | ASMS_SUBJ_SV_REVOKE            | [NULL]  |
 GJZSPT      | DBCOPYTEST                     | [NULL]  |
 GJZSPT      | OA_LEAVE                       | [NULL]  |
 GJZSPT      | PLAN_TABLE                     | [NULL]  |
 GJZSPT      | QRTZ_CRON_TRIGGERS             | [NULL]  |
 GJZSPT      | QRTZ_FIRED_TRIGGERS            | [NULL]  |
 GJZSPT      | QRTZ_JOB_DETAILS               | [NULL]  |
 GJZSPT      | QRTZ_LOCKS                     | [NULL]  |
 GJZSPT      | QRTZ_PAUSED_TRIGGER_GRPS       | [NULL]  |
 GJZSPT      | QRTZ_SCHEDULER_STATE           | [NULL]  |
 GJZSPT      | QRTZ_SIMPLE_TRIGGERS           | [NULL]  |
 GJZSPT      | QRTZ_SIMPROP_TRIGGERS          | [NULL]  |
 GJZSPT      | QRTZ_TRIGGERS                  | [NULL]  |
 GJZSPT      | SYS_ARGI_PRODUCT               | [NULL]  |
 GJZSPT      | SYS_CODE_RULE                  | [NULL]  |
 GJZSPT      | SYS_CODE_RULE_DATA             | [NULL]  |
 GJZSPT      | SYS_CODE_RULE_FIELD            | [NULL]  |
 GJZSPT      | SYS_DEPT                       | [NULL]  |
 GJZSPT      | SYS_DICT_DATA                  | [NULL]  |
 GJZSPT      | SYS_DICT_TYPE                  | [NULL]  |
 GJZSPT      | SYS_FLOW                       | [NULL]  |
 GJZSPT      | SYS_FLOW_ACTER                 | [NULL]  |
 GJZSPT      | SYS_FLOW_NODE                  | [NULL]  |
 GJZSPT      | SYS_MENU                       | [NULL]  |
 GJZSPT      | SYS_NOTICERELEASE              | [NULL]  |
 GJZSPT      | SYS_OPERATE_LOG                | [NULL]  |
 GJZSPT      | SYS_ORGANIZATION               | [NULL]  |
 GJZSPT      | SYS_POST                       | [NULL]  |
 GJZSPT      | SYS_REGION                     | [NULL]  |
 GJZSPT      | SYS_RESOURCE                   | [NULL]  |
 GJZSPT      | SYS_ROLE                       | [NULL]  |
 GJZSPT      | SYS_ROLE_MENU                  | [NULL]  |
 GJZSPT      | SYS_RULE_CLASS                 | [NULL]  |
 GJZSPT      | SYS_TEMPLATE                   | [NULL]  |
 GJZSPT      | SYS_USER                       | [NULL]  |
 GJZSPT      | SYS_USER_ROLE                  | [NULL]  |
 GJZSPT      | TASK_FIRE_LOG                  | [NULL]  |
 GJZSPT      | TASK_GROUP                     | [NULL]  |
 GJZSPT      | TASK_SCHEDULER                 | [NULL]  |
 GJZSPT      | TEMPRORY_DEMO                  | [NULL]  |
 GJZSPT      | TEMP_DEMO                      | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_CGGL              | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_COMPLAINT         | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_CPPCHC            | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_CUSTOMER          | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_ENTITY            | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_NOTIFICATION      | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_PRODUCT           | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_PRODUCTION_MANAGE | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_PRODUCTYPENAME    | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_PRODUCT_TYPE      | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_PROPOSAL          | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_REGISTER          | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_SCGL              | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_SLAUGHTER_PCHC    | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_SLAUGHTER_RECORD  | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_SLAUGHTER_SALE    | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_SLAUGHTER_SRECORD | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_SLAUGHTER_STOR    | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_SLA_PURCHASE      | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_USER              | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_USERNUMBER        | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_USER_CHANGERECORD | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_XSDJ              | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_XSDJJL            | [NULL]  |
 GJZSPT      | TTS_SCLTXXCJ_XSTH              | [NULL]  |
 GJZSPT      | TTS_TEMP_XSJL                  | [NULL]  |
 GJZSPT      | T_DGAP_ALERT_CONFIG            | [NULL]  |
 GJZSPT      | T_DGAP_ALERT_LOG               | [NULL]  |
 GJZSPT      | T_DGAP_ALERT_RECEIPT           | [NULL]  |
 GJZSPT      | T_DGAP_DATA_IMPORT_FIELD       | [NULL]  |
 GJZSPT      | T_DGAP_DATA_IMPORT_TABLE       | [NULL]  |
 GJZSPT      | T_DGAP_RESOURCE                | [NULL]  |
 GJZSPT      | T_DGAP_RESOURCE_APPLICATION    | [NULL]  |
 GJZSPT      | T_DGAP_RESOURCE_DIRECTORY      | [NULL]  |
 GJZSPT      | T_DGAP_ROLE_RESOURCE           | [NULL]  |
 GJZSPT      | T_DGAP_TB_RESOURCE_CONFIG      | [NULL]  |
 GJZSPT      | T_DGAP_WS_DAILY_STAT           | [NULL]  |
 GJZSPT      | T_DGAP_WS_ERROR_LOG            | [NULL]  |
 GJZSPT      | T_DGAP_WS_LOG                  | [NULL]  |
 GJZSPT      | T_MDM_BASIC_CODE               | [NULL]  |
 GJZSPT      | T_MDM_BASIC_CODES              | [NULL]  |
 GJZSPT      | T_SCLTXXCJ_BASE                | [NULL]  |
 GJZSPT      | T_SCLTXXCJ_ENTITY              | [NULL]  |
 GJZSPT      | T_SCLTXXCJ_REGISTER            | [NULL]  |
