table,system,inuse
ACT_GE_BYTEARRAY,,N
ACT_GE_PROPERTY,,N
ACT_HI_ACTINST,,N
ACT_HI_ATTACHMENT,,N
ACT_HI_COMMENT,,N
ACT_HI_DETAIL,,N
ACT_HI_IDENTITYLINK,,N
ACT_HI_PROCINST,,N
ACT_HI_TASKINST,,N
ACT_HI_VARINST,,N
ACT_ID_GROUP,,N
ACT_ID_INFO,,N
ACT_ID_MEMBERSHIP,,N
ACT_ID_USER,,N
ACT_RE_DEPLOYMENT,,N
ACT_RE_MODEL,,N
ACT_RE_PROCDEF,,N
ACT_RU_EVENT_SUBSCR,,N
ACT_RU_EXECUTION,,N
ACT_RU_IDENTITYLINK,,N
ACT_RU_JOB,,N
ACT_RU_TASK,,N
ACT_RU_VARIABLE,,N
ADS_CHECK_INFO,监测,Y
ADS_CHECK_ITEMS,监测,Y
ADS_CHECK_MODEL,监测,Y
ADS_CHECK_MODEL_MAPPING,监测,Y
ADS_CHECK_PACKAGE,监测,Y
ADS_CHECK_PROJECT,监测,Y
ADS_FILE,监测,Y
ADS_INFO_PROJECT,监测,Y
ADS_MODEL_ATTRIBUTE_MAPPING,监测,Y
ADS_MODEL_CHECK_ITEM,监测,Y
ADS_MODEL_CHECK_OBJECT,监测,Y
ADS_MODEL_CHECK_STANDARD,监测,Y
ADS_MODEL_JUDGE_STANDARD,监测,Y
ADS_MODEL_OBJECT_ITEM_MAPPING,监测,Y
ADS_MODEL_SAMPLE_LINK,监测,Y
ADS_MODEL_TYPE,监测,Y
ADS_MONITOR_MODEL,监测,Y
ADS_MONITOR_SAMPLE,监测,Y
ADS_MONITOR_TASK,监测,Y
ADS_ORGAN_TASK,监测,Y
ADS_PACKAGE_MAPPING,监测,Y
ADS_PRODUCTTEMPORARY_CODE,监测,Y
ADS_RECIPE,监测,Y
ALEMBIC_VERSION,,
ALES_DAILY_ENFORCE_LAW,执法,Y
ALES_ENTRUST_DETECTION,执法,Y
ALES_ENTRUST_SAMPLE,执法,Y
ALES_PD_STANDARD,执法,Y
ALES_PRODUCE_ADMIN_PUNISH,执法,Y
ALES_SAMPLE,执法,Y
ALES_TASK_SAMPLE,执法,Y
ALES_WT_OBJECT_CRITERION,执法,Y
ALES_WT_TASK_ENTERPRISE,执法,Y
ALES_WT_TASK_MONITOR,执法,Y
ALES_WT_TASK_SAMPLE,执法,Y
ASMS_BASE_INSPECTION,监管,Y
ASMS_BASE_USER,监管,Y
ASMS_CHECK_BEAR_UNIT,监管,Y
ASMS_CHECK_OBJECT_CRITERION,监管,Y
ASMS_CHECK_TASK,监管,Y
ASMS_CHECK_TASK_ENTERPRISE,监管,Y
ASMS_CHECK_TASK_REPORT,监管,Y
ASMS_COMMON_OPINION,监管,Y
ASMS_EMERGENCY_EXPERT,监管,Y
ASMS_EMERGENCY_TASK,监管,Y
ASMS_INSPECTION_ASSESS,监管,Y
ASMS_INSPECTION_TASK,监管,Y
ASMS_JC_STANDARD,监管,Y
ASMS_MONITOR_OBJECT,监管,Y
ASMS_PD_STANDARD,监管,Y
ASMS_RECHECK_OBJECT,监管,Y
ASMS_RECHECK_TASK,监管,Y
